,date,value
1,2024-05-31,9894.052581
2,2024-06-03,9893.197754
3,2024-06-04,9881.126582
4,2024-06-05,9864.948965
5,2024-06-06,9885.347782
6,2024-06-07,9831.197411
7,2024-06-10,9833.008878
8,2024-06-11,9825.397592
9,2024-06-12,9771.134389
10,2024-06-13,9797.178224
11,2024-06-14,9814.204124
12,2024-06-17,9817.411731
13,2024-06-18,9823.363528
14,2024-06-19,9823.654489
15,2024-06-20,9838.999442
16,2024-06-21,9872.056652
17,2024-06-24,9880.582452
18,2024-06-25,9865.426712
19,2024-06-26,9851.502595
20,2024-06-27,9848.21653
21,2024-06-28,9798.312671
22,2024-07-01,9760.236823
23,2024-07-02,9765.108334
24,2024-07-03,9815.427087
25,2024-07-04,9868.797316
26,2024-07-05,9899.068203
27,2024-07-08,9900.525533
28,2024-07-09,9906.079384
29,2024-07-10,9958.372523
30,2024-07-11,10002.256888
31,2024-07-12,10009.728844
32,2024-07-15,9993.826659
33,2024-07-16,10010.544583
34,2024-07-17,10008.184816
35,2024-07-18,9965.698784
36,2024-07-19,9949.607992
37,2024-07-22,9964.496738
38,2024-07-23,9926.048613
39,2024-07-24,9929.194122
40,2024-07-25,9926.546978
41,2024-07-26,9955.064833
42,2024-07-29,9956.792365
43,2024-07-30,9974.520762
44,2024-07-31,10003.448845
45,2024-08-01,10033.484529
46,2024-08-02,10125.896505
47,2024-08-05,10134.482897
48,2024-08-06,10091.930833
49,2024-08-07,10101.633145
50,2024-08-08,10133.130258
51,2024-08-09,10180.528451
52,2024-08-12,10198.059418
53,2024-08-13,10227.666195
54,2024-08-14,10232.443531
55,2024-08-15,10212.837172
56,2024-08-16,10186.099068
57,2024-08-19,10157.439109
58,2024-08-20,10121.579301
59,2024-08-21,10128.39709
60,2024-08-22,10117.853735
61,2024-08-23,10150.909356
62,2024-08-26,10133.474781
63,2024-08-27,10123.617984
64,2024-08-28,10093.30764
65,2024-08-29,10082.506847
66,2024-08-30,10055.168258
67,2024-09-02,10039.872207
68,2024-09-03,10031.941187
69,2024-09-04,10060.619109
70,2024-09-05,10092.57724
71,2024-09-06,10103.887455
